DepartmentCode,Title,AvailableToAllSchools,SchoolCodes,ActivityCode,FundCode,LedgerCode,DefaultFinanceCode,DepartmentEnabled
AADM,Academy - Admin,True,,DEFAULT,GAG,COSTCTR,,True
AAFM,Academy - Curric/Admin contracts,True,,DEFAULT,DEFAULT,COSTCTR,,True
ABNK,Academy - Bank Charges,True,,DEFAULT,DEFAULT,COSTCTR,,True
ACON,Academy - Contingency,True,,DEFAULT,DEFAULT,COSTCTR,,True
ADEP,Academy - Depreciation,True,,DEFAULT,DEFAULT,COSTCTR,,True
AEDT,Academy - Ed Trust,True,,DEFAULT,DEFAULT,COSTCTR,,True
AFUR,Academy - Furniture/Equipment,True,,DEFAULT,DEFAULT,COSTCTR,,True
AGOV,Academy - Governance,True,,DEFAULT,DEFAULT,COSTCTR,,True
AHOS,Academy - Hospitality,True,,DEFAULT,DEFAULT,COSTCTR,,True
AHTR,Academy -Headteachers Reserve,True,,DEFAULT,DEFAULT,COSTCTR,,True
AINS,Academy - Insurance Claims,True,,DEFAULT,DEFAULT,COSTCTR,,True
AITD,Academy - IT Development,True,,DEFAULT,DEFAULT,COSTCTR,,True
AITI,Academy- IT,True,,DEFAULT,DEFAULT,COSTCTR,,True
AITM,Academy - IT Maintenance,True,,DEFAULT,DEFAULT,COSTCTR,,True
AITR,Academy - IT Replacement,True,,DEFAULT,DEFAULT,COSTCTR,,True
AMAK,Academy - Marketing,True,,DEFAULT,DEFAULT,COSTCTR,,True
AMAT,Academy - MAT,False,MAT,DEFAULT,DEFAULT,COSTCTR,,True
AMAT,Academy - MAT,False,"LEA,MIL,ALE,APP,LOR,GRE,MAR,MID,EDU,GOO,OUR",SCHOOL,DEFAULT,COSTCTR,,True
AMIN,Academy - Minibus,True,,DEFAULT,DEFAULT,COSTCTR,,True
APBB,Academy - Professional Fees & Services,True,,DEFAULT,DEFAULT,COSTCTR,,True
APOS,Academy - Postage,True,,DEFAULT,DEFAULT,COSTCTR,,True
APTA,Academy - PTA,True,,DEFAULT,DEFAULT,COSTCTR,,True
APUM,Academy - Pupil Meals,True,,DEFAULT,DEFAULT,COSTCTR,,True
AREP,Academy - Reprographics/Photocopying,True,,DEFAULT,DEFAULT,COSTCTR,,True
ASCF,Academy - General School Fund Exp,True,,DEFAULT,DEFAULT,COSTCTR,,True
ASCU,Academy - School Fund Uniforms,True,,DEFAULT,DEFAULT,COSTCTR,,True
ASTA,Academy - Stationery,True,,DEFAULT,DEFAULT,COSTCTR,,True
ATEV,Academy - Traded Events,True,,DEFAULT,DEFAULT,COSTCTR,,True
AYEJ,Academy - Year End Journals,True,,DEFAULT,DEFAULT,COSTCTR,,True
CAP_DFC,Devolved Formula Capital,False,"LEA,MIL,ALE,APP,LOR,GRE,MAR,MID,EDU,GOO,OUR",SCHOOL,DEFAULT,CAPITAL,,True
CAP_EXP,Capital Expenditure,False,MAT,DEFAULT,DEFAULT,CAPITAL,,True
CAP_EXP,Capital Expenditure,False,"LEA,MIL,ALE,APP,LOR,GRE,MAR,MID,EDU,GOO,OUR",SCHOOL,DEFAULT,CAPITAL,,True
CAP_INC,Capital - Income,False,MAT,DEFAULT,DEFAULT,CAPITAL,,True
CAP_INC,Capital - Income,False,"LEA,MIL,ALE,APP,LOR,GRE,MAR,MID,EDU,GOO,OUR",SCHOOL,DEFAULT,CAPITAL,,True
CAP_NEW,Capital - Income New Build CIF,True,,DEFAULT,DEFAULT,CAPITAL,,True
CAP_PRTC,Premises - Revenue Cont to Capital,True,,DEFAULT,DEFAULT,CAPITAL,,True
CAP_ROOF,Capital Roof,False,APP,SCHOOL,DEFAULT,CAPITAL,,True
CUR_ART,Curriculum - Art,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_ASS,Curriculum - Assessment,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_BAC,Curriculum - Wrap around care,True,,CATERING,DEFAULT,COSTCTR,,True
CUR_BEC,Curriculum - B & E Community,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_BEN,Curriculum - Business & Enterprise,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_BEX,Curriculum - B & E - X Curriculum,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_BFL,Curriculum - Behaviour for IMP Init,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_BST,Curriculum - Business Studies,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_BUR,Curriculum - 16-19 Bursary,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_CCP,Curriculum - Covid Catchup Premium,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_CHI,Curriculum - House 1,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_DBS,Curriculum - DoE Award,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_DEV,Curriculum - Development Funding,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_DGO,Curriculum - DoE Gold,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_DRA,Curriculum - Drama,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_DTE,Curriculum - Design Technology,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_EAR,Curriculum - Early Years,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_ENG,Curriculum - English,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_EXM,Curriculum - Exams,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_EXP,Curriculum - Extended Schools Activity,True,,EXTENDED,DEFAULT,COSTCTR,,True
CUR_FUR,Curriculum- Furniture/Equipment,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_GEN,Curriculum - General Resources,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_GEO,Curriculum - Geography,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_GTE,Curriculum - G&T/Widening Horizons,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_GVP,Curriculum - Government and Politics,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_HEC,Curriculum - Home Economics,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_HIS,Curriculum - History,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_HSC,Curriculum - Health & Social Care/CD,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_HUM,Curriculum - Humanities General,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_INT,Curriculum - International Activities,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_ITC,Curriculum - IT,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_JOH,Curriculum - House 2,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_LAW,Curriculum - Law,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_LDV,Curriculum - IMP Development,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_LIT,Curriculum - Literacy,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_LRC,Curriculum - LRC,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_LSN,Curriculum - 14-19 IMP Network,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_MAL,Curriculum - House 3,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_MAT,Curriculum - Maths,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_MED,Curriculum - Media/Film Studies,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_MFL,Curriculum - MFL,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_MPL,Curriculum - House 4,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_MUS,Curriculum - Music,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_NUM,Curriculum - Numeracy,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_NUR,Curriculum - Nursery,True,,NURSERY,DEFAULT,COSTCTR,,True
CUR_OUT,Curriculum- Outdoor Resources,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_PEC,Curriculum - PE Coaching,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_PED,Curriculum - PE,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_PER,Curriculum - Personal Development,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_PET,Curriculum - PE Transport,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_PHO,Curriculum - Photocopying,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_PHY,Curriculum - Photography,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_PPR,Curriculum - Pupil Premium,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_PRI,Curriculum - Primary School Liaison,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_PSY,Curriculum - Psychology,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_REP,Curriculum - Reprographics,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_RES,Curriculum - Capitation Reserve,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_RET,Curriculum - Retention for 6th Form Nos,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_SAC,Curriculum - Student Achievement/Prizes,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_SCI,Curriculum - Science,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_SEN,Curriculum - SEN,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_SHA,Curriculum - House 5,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_SHE,Curriculum - PSHE,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_SIX,Curriculum - 6th Form,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_SLN,Curriculum - SLCN Unit,True,,SENUNIT,DEFAULT,COSTCTR,,True
CUR_SOC,Curriculum - Sociology,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_SPR,Curriculum - Sports Premium,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_SRW,Curriculum - SRW,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_STA,Curriculum - Stationery,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_STI,Curriculum - Student Incentives,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_STR,Curriculum - Year 11/12 Strategies,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_STS,Curriculum - Student Support,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_VOC,Curriculum - KS4 Vocational,True,,SCHOOL,DEFAULT,COSTCTR,,True
CUR_WEX,Curriculum - Work Experience/Careers,True,,SCHOOL,DEFAULT,COSTCTR,,True
DEFAULT,Default (no) Department,True,,DEFAULT,DEFAULT,DEFAULT,,True
EXP_ADM,Expenditure- Admin,True,,DEFAULT,DEFAULT,COSTCTR,,True
EXP_CLE,Expenditure - Cleaning,True,,DEFAULT,DEFAULT,COSTCTR,,True
EXP_CON,Expenditure - Consumables,True,,DEFAULT,DEFAULT,COSTCTR,,True
EXP_EQU,Expenditure - Equipment,True,,DEFAULT,DEFAULT,COSTCTR,,True
EXP_GRO,Expenditure -Grounds Maintenance,True,,DEFAULT,DEFAULT,COSTCTR,,True
EXP_MAIN,Expenditure - Maintenance,True,,DEFAULT,DEFAULT,COSTCTR,,True
EXP_OH,Expenditure- Overheads,True,,DEFAULT,DEFAULT,COSTCTR,,True
EXP_PTA,PTA spend,True,,EXTENDED,DEFAULT,COSTCTR,,True
EXP_UTI,Expenditure- Utilities,True,,DEFAULT,DEFAULT,COSTCTR,,True
EXT_ASC,After School Club,True,,EXTENDED,DEFAULT,COSTCTR,,True
EXT_BC,Breakfast Club,True,,EXTENDED,DEFAULT,COSTCTR,,True
EXT_HC,Extended School Holiday Club,True,,EXTENDED,DEFAULT,COSTCTR,,True
GAG,General Annual Grant,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_ASC,Income - ASC,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_ATO,Income - ATP Other Users,True,,LETTINGS,DEFAULT,COSTCTR,,True
INC_ATP,Income - ATP Partners,True,,LETTINGS,DEFAULT,COSTCTR,,True
INC_BAN,Income - Bank Interest,False,MAT,DEFAULT,DEFAULT,COSTCTR,,True
INC_BAN,Income - Bank Interest,False,"LEA,MIL,ALE,APP,LOR,GRE,MAR,MID,EDU,GOO,OUR",SCHOOL,DEFAULT,COSTCTR,,True
INC_BFC,Income - Breakfast Club,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_BURS,Bursary Fund,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_CAR,Income - Cater taker's Occ Charge,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_CAT,Income - Catering,True,,CATERING,DEFAULT,COSTCTR,,True
INC_CHIL,Childrens Centre,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_COV,Covid Fund,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_DON,Income - Donations,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_GAG,Income - GAG,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_GRA,Income - Grants Other,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_LAC,Income - LAC OLA,True,,DEFAULT,DEFAULT,COSTCTR,,True
INC_LET,Income - Lettings General,True,,LETTINGS,DEFAULT,COSTCTR,,True
INC_MAT,Income - MAT,False,MAT,DEFAULT,DEFAULT,COSTCTR,,True
INC_NUR,Income - Nursery,True,,NURSERY,DEFAULT,COSTCTR,,True
INC_OTH,Income - Other,False,MAT,DEFAULT,DEFAULT,COSTCTR,,True
INC_OTH,Income - Other,False,"LEA,MIL,ALE,APP,LOR,GRE,MAR,MID,EDU,GOO,OUR",SCHOOL,DEFAULT,COSTCTR,,True
