FinanceCode,Title,GroupingCode,CustomGrouping,AvailableToAllSchools,SchoolCodes,FinanceCodeTypeCode,LedgerCode,FinanceCodeEnabled
01FEE_NUR_01,Per Pupil Fee - Nursery - Term 1,Z10,ZZZ,True,,STATISTICS,DEFAULT,True
01FEE_NUR_02,Per Pupil Fee - Nursery - Term 2,Z10,ZZZ,True,,STATISTICS,DEFAULT,True
01FEE_NUR_03,Per Pupil Fee - Nursery - Term 3,Z10,ZZZ,True,,STATISTICS,DEFAULT,True
02FEE_LOW_01,Per Pupil Fee - Lower - Term 1,Z10,ZZZ,True,,STATISTICS,DEFAULT,True
02FEE_LOW_02,Per Pupil Fee - Lower - Term 2,Z10,ZZZ,True,,STATISTICS,DEFAULT,True
02FEE_LOW_03,Per Pupil Fee - Lower - Term 3,Z10,ZZZ,True,,STATISTICS,DEFAULT,True
03FEE_JUN_01,Per Pupil Fee - Junior - Term 1,Z10,ZZZ,True,,STATISTICS,DEFAULT,True
03FEE_JUN_02,Per Pupil Fee - Junior - Term 2,Z10,ZZZ,True,,STATISTICS,DEFAULT,True
03FEE_JUN_03,Per Pupil Fee - Junior - Term 3,Z10,ZZZ,True,,STATISTICS,DEFAULT,True
03FEE_Y03_Y04_01,Per Pupil Fee - Year 3 & 4 - Term 1,Z10,ZZZ,True,,STATISTICS,DEFAULT,True
03FEE_Y03_Y04_02,Per Pupil Fee - Year 3 & 4 - Term 2,Z10,ZZZ,True,,STATISTICS,DEFAULT,True
03FEE_Y03_Y04_03,Per Pupil Fee - Year 3 & 4 - Term 3,Z10,ZZZ,True,,STATISTICS,DEFAULT,True
03FEE_Y05_Y06_01,Per Pupil Fee - Year 5 & 6 - Term 1,Z10,ZZZ,True,,STATISTICS,DEFAULT,True
03FEE_Y05_Y06_02,Per Pupil Fee - Year 5 & 6 - Term 2,Z10,ZZZ,True,,STATISTICS,DEFAULT,True
03FEE_Y05_Y06_03,Per Pupil Fee - Year 5 & 6 - Term 3,ZZZ,ZZZ,True,,STATISTICS,DEFAULT,True
04FEE_SEN_01,Per Pupil Fee - Senior - Term 1,ZZZ,ZZZ,True,,STATISTICS,DEFAULT,True
04FEE_SEN_02,Per Pupil Fee - Senior - Term 2,ZZZ,ZZZ,True,,STATISTICS,DEFAULT,True
04FEE_SEN_03,Per Pupil Fee - Senior - Term 3,ZZZ,ZZZ,True,,STATISTICS,DEFAULT,True
510100,IN: DfE Revenue Grants: GAG (not stud supp and trust grants),510100,A0,True,,BUDGET,COSTCTR,True
510110,IN: DfE Revenue Grants: GAG (student support),510110,A0,True,,BUDGET,COSTCTR,True
510120,IN: DfE Revenue Grants: GAG (start up grants),510120,A0,True,,BUDGET,COSTCTR,True
510130,IN: DfE Revenue Grants: Trust level grants,510130,A1,True,,BUDGET,COSTCTR,True
510140,IN: DfE Revenue Grants: Pupil number adjustment,510140,A1,True,,BUDGET,COSTCTR,True
510150,IN: DfE Revenue Grants: Rates reclaim,510150,A1,True,,BUDGET,COSTCTR,True
510200,IN: DfE Revenue Grants: Pupil Premium,510200,A1,True,,BUDGET,COSTCTR,True
510250,IN: DfE Revenue Grants: Universal Inf Free School Meals,510250,A1,True,,BUDGET,COSTCTR,True
510300,IN: DfE Revenue Grants: Insurance top up,510300,A1,True,,BUDGET,COSTCTR,True
510350,IN: DfE Revenue Grants: Sponsor capacity grant,510350,A1,True,,BUDGET,COSTCTR,True
510400,IN: DfE Revenue Grants: PE & Sports grant,510400,A1,True,,BUDGET,COSTCTR,True
510450,IN: DfE Revenue Grants: Year 7 catch up,510450,A1,True,,BUDGET,COSTCTR,True
510500,IN: DfE Revenue Grants: Teachers Pay Grant,510500,A1,True,,BUDGET,COSTCTR,True
510510,IN: DfE Revenue Grants: Teachers Pension Employer Contribution Grant,510510,A1,True,,BUDGET,COSTCTR,True
510550,IN: DfE Revenue Grants: Teaching Schools grant,510550,A1,True,,BUDGET,COSTCTR,True
510600,IN: DfE Revenue Grants: ITT Bursaries Grant,510600,A1,True,,BUDGET,COSTCTR,True
510700,IN: DfE Revenue Grants: 16 to 19,510700,A0,False,"MIL,MAT,MAR,EDU",BUDGET,COSTCTR,True
510950,IN: DfE Revenue Grants: Other DfE revenue grants,510950,A1,True,,BUDGET,COSTCTR,True
510951,IN: DfE Revenue Grants: Mainstream Schools Additional Grant,510970,A1,True,,BUDGET,COSTCTR,True
510952,IN: DfE Revenue Grants: Teachers Pay/Pension Additional Grant,510980,A1,True,,BUDGET,COSTCTR,True
510953,IN: DfE Revenue Grants: Recovery Premium,510990,A1,True,,BUDGET,COSTCTR,True
515100,IN: DfE Group Grants: Standards & Testing Agency,515100,A2,True,,BUDGET,COSTCTR,True
515200,IN: DfE Group Grants: Office of Childrens Commissioner,515200,A2,True,,BUDGET,COSTCTR,True
515250,IN: DfE Group Grants: Student Loans Company,515250,A2,True,,BUDGET,COSTCTR,True
515300,IN: DfE Group Grants: Office for Students,515300,A2,True,,BUDGET,COSTCTR,True
515350,IN: DfE Group Grants: Engineering Contraction ITB,515350,A2,True,,BUDGET,COSTCTR,True
515400,IN: DfE Group Grants: Construction ITB,515400,A2,True,,BUDGET,COSTCTR,True
520100,IN: Other Grants: LA - SEN,520100,A2,True,,BUDGET,COSTCTR,True
520150,IN: Other Grants: LA - Early Years,520150,A2,False,"LEA,MIL,ALE,APP,LOR,GRE,MID,EDU,GOO,OUR",BUDGET,COSTCTR,True
520200,IN: Other Grants: LA - Other grants,520200,A2,True,,BUDGET,COSTCTR,True
520300,IN: Other Grants: Government grant - not DfE,520300,A2,True,,BUDGET,COSTCTR,True
520350,IN: Other Grants: Other revenue grants,520350,A2,True,,BUDGET,COSTCTR,True
525100,IN: Other Income: Academy trusts,525100,A4,True,,BUDGET,COSTCTR,True
525150,IN: Other Income: Govt sources - not grant,525150,A2,True,,BUDGET,COSTCTR,True
525200,IN: Other Income: Non-govt revenue,525200,A4,True,,BUDGET,COSTCTR,True
525300,IN: Other Income: Catering income from pupils,525300,A4,True,,BUDGET,COSTCTR,True
525400,IN: Other Income: Educational trips & visits,525400,A4,True,,BUDGET,TRIPS,True
525500,IN: Other Income: Apprenticeship levy drawdown,525500,A4,True,,BUDGET,COSTCTR,True
525600,IN: Other Income: Teaching School other income,525600,A4,True,,BUDGET,COSTCTR,True
525750,IN: Other Income: Investment income,525750,A4,True,,BUDGET,COSTCTR,True
530100,IN: Trading Income: Hire of facilities,530100,A4,True,,BUDGET,COSTCTR,True
530200,IN: Trading Income: Catering inc (visitors & staff),530200,A4,True,,BUDGET,COSTCTR,True
530250,IN: Trading Income: Rental Income,530250,A4,True,,BUDGET,COSTCTR,True
530300,IN: Trading Income: Supply teacher insurance claim,530300,A4,True,,BUDGET,COSTCTR,True
