CustomGroupingCode,Title,CustomGroupingEnabled
A0,GAG funding,True
A2,Other Govt Grants,True
A3,Private Sector Funding,True
A4,Other Income,True
B0,Teaching Staff,True
B1,Educational Support Staff,True
B2,Premises Staffing,True
B3,Admin Staffing,True
B4,Other Staff,True
B5,Agency Staff,True
C0,Maintenance of Premises,True
C1,Other Occupational Costs,True
D0,Educational Supplies and Services,True
E0,Other Supplies and Services,True
F0,ICT Costs (Non Capital),True
G0,Staff Development,True
G1,Indirect Employees Expenses,True
H0,Other GAG Expenses,True
I0,Depreciation,True
L0,Direct Revenue Financing,True
W0,Capital Income,True
W1,Capital Expenditure,True
ZZZ,Not Applicable,True
