ActivityCode,DepartmentCode,Title,AvailableToAllSchools,SchoolCodes,FundCode,LedgerCode,DefaultFinanceCode,DepartmentEnabled
DEFAULT,A,A Band,True,,DEFAULT,DEFAULT,,True
DEFAULT,A_AFTERSCH,Admin - After School Club,True,"CLA,HPA,ROS,MEA,RYP,MHP,BRI",GAG,COSTCTR,1000,True
DEFAULT,A_BREAKFAST,Admin - Breakfast Club,False,MHP,GAG,COSTCTR,4006,True
DEFAULT,A_CHARITY,Admin - Charity,False,"MHP,BRI",REST,COSTCTR,,True
DEFAULT,A_FINANCE,Admin - Finance,True,"CLA,HPA,CEN,ROS,MEA,RYP,MHP",GAG,COSTCTR,4135,True
DEFAULT,A_GENERAL,Admin - General Income,True,CLA,GAG,COSTCTR,,True
DEFAULT,A_GOVERNANCE,Admin - Governance,True,,GAG,COSTCTR,1003,True
DEFAULT,A_HR,Admin - HR,True,,GAG,COSTCTR,1000,True
DEFAULT,A_IT,Admin - IT,True,,GAG,COSTCTR,,True
DEFAULT,C_CAPGEN,Capital - General Capital Funds,False,"SCH,CLA,HPA,ROS,MEA,RYP,MHP,BRI",CAP,CAPITAL,,True
DEFAULT,C_CIF,Capital - CIF,False,"SCH,CLA,HPA,ROS,MEA,RYP,MHP,BRI",CAP,CAPITAL,,True
DEFAULT,C_DFC,Capital - DFC,False,"SCH,CLA,HPA,ROS,MEA,RYP,MHP,BRI",CAP,CAPITAL,,True
DEFAULT,C_ENGLISH,Curriculum - English,False,"SCH,CLA,HPA,ROS,MEA,RYP,MHP,BRI",GAG,COSTCTR,,True
DEFAULT,C_EYFS,Curriculum - Foundation,False,"SCH,CLA,HPA,ROS,MEA,RYP,MHP,BRI",GAG,COSTCTR,,True
DEFAULT,C_GENERAL,Curriculum - General,True,,GAG,COSTCTR,,True
SPORTS,C_KS1,Curriculum - KS1,False,"SCH,CLA,HPA,ROS,MEA,RYP,MHP,BRI",GAG,COSTCTR,,True
DEFAULT,C_KS2,Curriculum - KS2,False,"SCH,CLA,HPA,ROS,MEA,RYP,MHP,BRI",GAG,COSTCTR,,True
DEFAULT,C_MATHS,Curriculum - Maths,False,"SCH,CLA,HPA,ROS,MEA,RYP,MHP,BRI",GAG,COSTCTR,,True
DEFAULT,C_PEGRANT,Curriculum - PE Sports Grant,False,"SCH,CLA,HPA,ROS,MEA,RYP,MHP,BRI",REST,COSTCTR,,True
DEFAULT,C_PUPILPREM,Curriculum - Pupil Premium,False,"SCH,CLA,HPA,ROS,MEA,RYP,MHP,BRI",PPREM,COSTCTR,,True
DEFAULT,C_SCIENCE,Curriculum - Science,False,"CLA,HPA,ROS,BRI",GAG,COSTCTR,,True
DEFAULT,C_SEN,Curriculum - SEN,False,"SCH,CLA,HPA,ROS,MEA,RYP,MHP,BRI",GAG,COSTCTR,,True
DEFAULT,CAP,CAP Fund,True,,CAP,DEFAULT,,True
DEFAULT,DEFAULT,Department needs remapping,True,,DEFAULT,DEFAULT,,True
DEFAULT,GAG,GAG Fund,True,,GAG,DEFAULT,,True
DEFAULT,M_CATERING,Meals - Catering,False,"SCH,CLA,HPA,ROS,MEA,RYP,MHP,BRI",GAG,COSTCTR,,True
DEFAULT,OCT_CENSUS,October Census,True,,DEFAULT,DEFAULT,,True
DEFAULT,P_LETTINGS,Premises - Lettings,False,"ROS,MEA,RYP,MHP",GAG,COSTCTR,,True
DEFAULT,P_PREMISES,Premises - General,True,,GAG,COSTCTR,,True
DEFAULT,PPREM,PPREM Fund,True,,PPREM,DEFAULT,,True
DEFAULT,REST,REST Fund,True,,REST,DEFAULT,,True
DEFAULT,S_MIDSUP,Salaries - Midday Supervisors,False,"HPA,MHP,BRI",GAG,COSTCTR,,True
DEFAULT,S_PEGRANT,Salaries - PE Grant Funded,False,"HPA,MHP,BRI",GAG,COSTCTR,,True
DEFAULT,S_PREM,Salaries - Premises,False,"HPA,MHP",GAG,COSTCTR,,True
DEFAULT,S_SUPPORT,Salaries - Support Staff,False,"RYP,MHP,BRI",GAG,COSTCTR,,True
DEFAULT,S_TEACH,Salaries - Teachers,True,"HPA,MHP,BRI",GAG,COSTCTR,,True
DEFAULT,T_DESIGNTECH,Design Technology,True,,GAG,COSTCTR,,True
SPORTS,T_TRIPS,Trips - General Trips,False,"SCH,CLA,HPA,ROS,MEA,RYP,MHP,BRI",REST,TRIPS,,True
DEFAULT,TESTNULL,Testnull,True,"CLA,BRI",GAG,COSTCTR,,True
DEFAULT,UNRF,UNRF Fund,True,,UNRF,DEFAULT,,True
