IsBalanceSheet,GroupingCode,CustomGrouping,FinanceCode,Title,AvailableToAllSchools,SchoolCodes,FinanceCodeTypeCode,LedgerCode,FinanceCodeEnabled,BalanceToScenario
False,510100,A0,1000,Pre-16 School Budget Share,True,,BUDGET,COSTCTR,True,True
False,510100,A0,1001,Test,False,"CLA,BRI",BUDGET,COSTCTR,True,False
False,510100,A0,1002,Income Test,True,,BUDGET,COSTCTR,True,False
False,510100,ZZZ,1003,16-19 School Budget Share,True,,BUDGET,COSTCTR,True,False
False,510100,A0,1010,LACSEG,True,,BUDGET,COSTCTR,True,False
False,510110,A0,1013,Academy Bursary Funding,True,,BUDGET,COSTCTR,True,False
False,510150,A0,1020,Rates Relief,True,,BUDGET,COSTCTR,True,False
False,510100,A0,1035,Mainstreamed Grants,True,,BUDGET,COSTCTR,True,False
False,530350,A0,1040,Insurance,True,,BUDGET,COSTCTR,True,False
False,510500,A0,1045,Teacher Threshold,True,,BUDGET,COSTCTR,True,False
False,510200,A2,1050,Pupil Premium,True,,BUDGET,COSTCTR,True,False
False,860100,C1,1052,Supplies & Services Costs - Non-educational contracts-Clerking board/governor meetings,True,,BUDGET,COSTCTR,True,False
False,510100,A0,1055,Other GAG,True,,BUDGET,COSTCTR,True,False
False,510120,A0,1060,Start Up Grant Part A,True,,BUDGET,COSTCTR,True,False
False,510120,A0,1065,Start Up Grant Part B,True,,BUDGET,COSTCTR,True,False
False,525750,A3,1070,Sponsorship: Not for Capital Purposes,True,,BUDGET,COSTCTR,True,False
False,510950,A2,1075,Other EFA Grants: Excluding Capital,True,,BUDGET,COSTCTR,True,False
False,520300,A2,1080,Other Govt Grants: Excluding Capital,True,,BUDGET,COSTCTR,True,False
False,520100,A2,1085,SEN Funding,True,,BUDGET,COSTCTR,True,False
False,515250,A4,1090,Other Income: Self Generated,True,,BUDGET,COSTCTR,True,False
False,520200,A3,1100,Donations and / or Voluntary Funds,True,,BUDGET,COSTCTR,True,False
False,530200,A3,1101,PTA Income,True,,BUDGET,COSTCTR,True,False
False,595200,A3,1103,Funds Inherited on Conversion,True,,BUDGET,COSTCTR,True,False
False,520200,A4,1105,Lettings Income,True,,BUDGET,COSTCTR,True,False
False,530250,A4,1106,Rental Income,True,,BUDGET,COSTCTR,True,False
False,510100,A4,1110,Other Lettings Income,True,,BUDGET,COSTCTR,True,False
False,520200,A4,1120,Staff Services - Consultancy,True,,BUDGET,COSTCTR,True,False
False,530600,A4,1121,Music Services Income,True,,BUDGET,COSTCTR,True,False
False,530200,A4,1125,Catering Income,True,,BUDGET,COSTCTR,True,False
False,530300,A4,1128,Supply Teacher Insurance Income,True,,BUDGET,COSTCTR,True,False
False,530300,A4,1129,Other Insurance Income,True,,BUDGET,COSTCTR,True,False
False,510950,A4,1130,Trip Income,True,,BUDGET,TRIPS,True,False
False,520200,A4,1140,Uniforms Income,True,,BUDGET,COSTCTR,True,False
False,520300,A4,1150,Sponsor Income,True,,BUDGET,COSTCTR,True,False
False,880500,A4,1155,Head Office Recharge Income,True,,BUDGET,COSTCTR,True,False
False,525750,A4,1200,Bank Interest,True,,BUDGET,COSTCTR,True,False
False,525750,A4,1205,Investment Income,True,,BUDGET,COSTCTR,True,False
False,530650,A4,1210,Sales of Other Goods and Services,True,,BUDGET,COSTCTR,True,False
False,612100,B0,2000,Teachers - Salaries/Allowances,True,,BUDGET,COSTCTR,True,False
False,612200,B0,2005,Teachers - N.I.,True,,BUDGET,COSTCTR,True,False
False,612300,B0,2010,Teachers - Supn,True,,BUDGET,COSTCTR,True,False
False,612100,B0,2015,Teachers - Overtime,True,,BUDGET,COSTCTR,True,False
False,610100,B1,2200,Support Staff - Salaries,True,,BUDGET,COSTCTR,True,False
False,615200,B1,2205,Support Staff - NI,True,,BUDGET,COSTCTR,True,False
False,615300,B1,2210,Support Staff - Supn,True,,BUDGET,COSTCTR,True,False
False,615150,B1,2215,Support Staff - Overtime,True,,BUDGET,COSTCTR,True,False
False,647300,B1,2250,HLTA Salaries,True,,BUDGET,COSTCTR,True,False
False,615200,B1,2255,HLTA - NI,True,,BUDGET,COSTCTR,True,False
False,615100,B1,2260,HLTA - Supn,True,,BUDGET,COSTCTR,True,False
False,647200,B1,2265,HLTA - Overtime,True,,BUDGET,COSTCTR,True,False
False,622100,B1,2280,Technicians - Salaries,True,,BUDGET,COSTCTR,True,False
False,622200,B1,2285,Technicians - NI,True,,BUDGET,COSTCTR,True,False
False,622300,B1,2290,Technicians - Supn,True,,BUDGET,COSTCTR,True,False
False,622150,B1,2295,Technicians - Overtime,True,,BUDGET,COSTCTR,True,False
False,627100,B2,2300,Premises Staff - Salaries,True,,BUDGET,COSTCTR,True,False
False,627200,B2,2305,Premises Staff - NI,True,,BUDGET,COSTCTR,True,False
False,627300,B2,2310,Premises Staff - Supn,True,,BUDGET,COSTCTR,True,False
False,627100,B2,2314,Premises Staff - Lettings,True,,BUDGET,COSTCTR,True,False
False,627150,B2,2315,Premises Staff - Overtime,True,,BUDGET,COSTCTR,True,False
False,647100,B2,2320,Cleaning staff - Salaries,True,,BUDGET,COSTCTR,True,False
False,647200,B2,2325,Cleaning Staff - NI,True,,BUDGET,COSTCTR,True,False
False,647300,B2,2330,Cleaning Staff - Supern,True,,BUDGET,COSTCTR,True,False
False,647150,B2,2335,Cleaning Staff - Overtime,True,,BUDGET,COSTCTR,True,False
False,635100,B1,2400,Breakfast Club - Salaries,True,,BUDGET,COSTCTR,True,False
False,635200,B1,2405,Breakfast Club - NI,True,,BUDGET,COSTCTR,True,False
False,635300,B1,2410,Breakfast Club - Supn,True,,BUDGET,COSTCTR,True,False
False,635150,B1,2415,Breakfast Club - Overtime,True,,BUDGET,COSTCTR,True,False
False,642100,B1,2500,Nursery/Playgroup Staff - Salaries,True,,BUDGET,COSTCTR,True,False
False,642200,B1,2505,Nursery/Playgroup Staff - NI,True,,BUDGET,COSTCTR,True,False
False,642300,B1,2510,Nursery/Playgroup Staff - Supn,True,,BUDGET,COSTCTR,True,False
False,642150,B1,2515,Nursery/Playgroup Staff - Overtime,True,,BUDGET,COSTCTR,True,False
False,612100,B1,2600,Swimming/Sports Staff - Salaries,True,,BUDGET,COSTCTR,True,False
False,612200,B1,2605,Swimming/Sports Staff  - NI,True,,BUDGET,COSTCTR,True,False
