ScenarioCode,PayScaleCode,PayScalePointCode,PayScalePointTitle,ScalePointNumber,Hourly,PayScalePointEnabled,RateDateFrom,RateDateTo,PayScaleRate
,APP/NMW,Y1,Y1,1,False,True,2024-04-01,,12347.0
,APP/NMW,<18,<18,2,False,True,2024-04-01,,12347.0
,APP/NMW,18-20,18-20,3,False,True,2024-04-01,,16592.0
,APP/NMW,>21,>21,4,False,True,2024-04-01,,22071.0
,ESTF,ESTF_00,External Staff 00,0,False,True,2025-09-01,,0.0
,KENT,25891064,25891064,1,False,True,2024-04-01,,23337.0
,KENT,46291663,46291663,2,False,True,2024-04-01,,23337.0
,KENT,70605543,70605543,3,False,True,2024-04-01,,23337.0
,KENT,34670661,34670661,4,False,True,2024-04-01,,32769.0
,KENT,12387327,12387327,5,False,True,2024-04-01,,25002.0
,KENT,38191388,38191388,6,False,True,2024-04-01,,24040.0
,KENT,44544902,44544902,7,False,True,2024-04-01,,25002.0
,KENT,20303520,20303520,8,False,True,2024-04-01,,24040.0
,KENT,16583736,16583736,9,False,True,2024-04-01,,25002.0
,KENT,76992654,76992654,10,False,True,2024-04-01,,24040.0
,KENT,21005460,21005460,11,False,True,2024-04-01,,24040.0
,KENT,18461984,18461984,12,False,True,2024-04-01,,25978.0
,KENT,48836308,48836308,13,False,True,2024-04-01,,25127.0
,KENT,79445180,79445180,14,False,True,2024-04-01,,26383.0
,KENT,31008481,31008481,15,False,True,2024-04-01,,25127.0
,KENT,51446585,51446585,16,False,True,2024-04-01,,23561.0
,KENT,92982577,92982577,17,False,True,2024-04-01,,23921.0
,KENT,43697238,43697238,18,False,True,2024-04-01,,23338.0
,KENT,60613534,60613534,19,False,True,2024-04-01,,23337.0
,KENT,85286584,85286584,20,False,True,2024-04-01,,23337.0
,KENT,92353899,92353899,21,False,True,2024-04-01,,23337.0
,KENT,40149804,40149804,22,False,True,2024-04-01,,23337.0
,KENT,50161874,50161874,23,False,True,2024-04-01,,23337.0
,LP_EW,LP01,LP01,1,False,True,2024-09-01,,50025.0
,LP_EW,LP02,LP02,2,False,True,2024-09-01,,51280.0
,LP_EW,LP03,LP03,3,False,True,2024-09-01,,52560.0
,LP_EW,LP04,LP04,4,False,True,2024-09-01,,53867.0
,LP_EW,LP05,LP05,5,False,True,2024-09-01,,55209.0
,LP_EW,LP06,LP06,6,False,True,2024-09-01,,56593.0
,LP_EW,LP07,LP07,7,False,True,2024-09-01,,58118.0
,LP_EW,LP08,LP08,8,False,True,2024-09-01,,59457.0
,LP_EW,LP09,LP09,9,False,True,2024-09-01,,60943.0
,LP_EW,LP10,LP10,10,False,True,2024-09-01,,62509.0
,LP_EW,LP11,LP11,11,False,True,2024-09-01,,64129.0
,LP_EW,LP12,LP12,12,False,True,2024-09-01,,65608.0
,LP_EW,LP13,LP13,13,False,True,2024-09-01,,67247.0
,LP_EW,LP14,LP14,14,False,True,2024-09-01,,68925.0
,LP_EW,LP15,LP15,15,False,True,2024-09-01,,70638.0
,LP_EW,LP16,LP16,16,False,True,2024-09-01,,72518.0
,LP_EW,LP17,LP17,17,False,True,2024-09-01,,74182.0
,LP_EW,LP18,LP18,18,False,True,2024-09-01,,76050.0
