ScenarioCode,PayScaleCode,FinancialYearsCode,IncreasePercentage
,KENT,2024/25,3.0
,LP_EW,2025/26,3.0
,LP_FRI,2025/26,3.0
,LP_IL,2025/26,3.0
,LP_OL,2025/26,3.0
,LS_EW,2025/26,3.0
,LS_FRI,2025/26,3.0
,LS_IL,2025/26,3.0
,LS_OL,2025/26,3.0
,MAIN_EW,2025/26,3.0
,MAIN_EW,2026/27,1.75
,MAIN_EW,2027/28,2.25
,MAIN_EW,2028/29,2.5
,MAIN_FRI,2025/26,3.0
,MAIN_FRI,2026/27,1.75
,MAIN_FRI,2027/28,2.25
,MAIN_FRI,2028/29,2.5
,MAIN_IL,2025/26,3.0
,MAIN_IL,2026/27,1.75
,MAIN_IL,2027/28,2.25
,MAIN_IL,2028/29,2.5
,MAIN_OL,2025/26,3.0
,MAIN_OL,2026/27,1.75
,MAIN_OL,2027/28,2.25
,MAIN_OL,2028/29,2.5
,NJC_EW,2024/25,3.0
,NJC_FRI,2024/25,3.0
,NJC_IL,2024/25,3.0
,NJC_OL,2024/25,3.0
,SPOT_CEO,2025/26,3.0
,SPOT_H,2024/25,3.0
,SPOT_HTG_EW,2025/26,3.0
,UPS_OL,2025/26,3.0
,UPS_OL,2026/27,1.75
,UPS_OL,2027/28,2.25
,UPS_OL,2028/29,2.5
,UQ_EW,2025/26,3.0
,UQ_FRI,2025/26,3.0
,UQ_IL,2025/26,3.0
,UQ_OL,2025/26,3.0
