ScenarioCode,PayScaleCode,PayScaleGradeCode,Title,ScalePointNumberFrom,ScalePointNumberTo,AvailableToAllSchools,SchoolCodes,PayScaleGradeEnabled
,APP/NMW,NMW_Y1,Apprentice Y1,1,1,True,,True
,APP/NMW,NMW_<18,NMW <18,2,2,True,,True
,APP/NMW,NMW_18-20,NMW 18-20,3,3,True,,True
,APP/NMW,NMW_>21,NLW >21,4,4,True,,True
,ESTF,ESTF_00,External Staff 00,0,0,True,,True
,KENT,25891064,KR03,1,1,False,MIL,True
,KENT,46291663,KR03,2,2,False,MIL,True
,KENT,70605543,KR03,3,3,False,MIL,True
,KENT,34670661,KR08,4,4,False,MIL,True
,KENT,12387327,KR05,5,5,False,MIL,True
,KENT,38191388,KR05,6,6,False,MIL,True
,KENT,44544902,KR05,7,7,False,MIL,True
,KENT,20303520,KR05,8,8,False,MIL,True
,KENT,16583736,KR05,9,9,False,MIL,True
,KENT,76992654,KR05,10,10,False,MIL,True
,KENT,21005460,KR05,11,11,False,MIL,True
,KENT,18461984,KR06,12,12,False,MIL,True
,KENT,48836308,KR06,13,13,False,MIL,True
,KENT,79445180,KR06,14,14,False,MIL,True
,KENT,31008481,KR06,15,15,False,MIL,True
,KENT,51446585,KR04,16,16,False,MIL,True
,KENT,92982577,KR04,17,17,False,MIL,True
,KENT,43697238,KR04,18,18,False,MIL,True
,KENT,60613534,KR03,19,19,False,MIL,True
,KENT,85286584,KR03,20,20,False,MIL,True
,KENT,92353899,KR03,21,21,False,MIL,True
,KENT,40149804,KR03,22,22,False,MIL,True
,KENT,50161874,KR03,23,23,False,MIL,True
,LP_EW,LP_EW_01-04,Lead Practitioner Range LP01 -LP04 - EW,1,4,False,"MAT,ALE,APP,MAR",True
,LP_EW,LP_EW_01-18,Lead Practitioner Range LP01-LP18 - EW,1,18,False,"MAT,ALE,APP,MAR",True
,LP_EW,LP_EW_05-09,Lead Practitioner Range LP05 -LP09 - EW,5,9,False,"MAT,ALE,APP,MAR",True
,LP_EW,LP_EW_10-14,Lead Practitioner Range LP10 -LP14 - EW,10,14,False,"MAT,ALE,APP,MAR",True
,LP_EW,LP_EW_12-12,Lead Practitioner Fixed Point LP12 - EW,12,12,False,"MAT,ALE,APP,MAR",True
,LP_EW,LP_EW_15-18,Lead Practitioner Range LP15 -LP18 - EW,15,18,False,"MAT,ALE,APP,MAR",True
,LP_FRI,LP_FRI_01-04,Lead Practitioner Range LP01 -LP04 - Fringe,1,4,False,"MIL,EDU",True
,LP_FRI,LP_FRI_01-18,Lead Practitioner Range LP01-LP18 - Fringe,1,18,False,"MIL,EDU",True
,LP_FRI,LP_FRI_05-09,Lead Practitioner Range LP05 -LP09 - Fringe,5,9,False,"MIL,EDU",True
,LP_FRI,LP_FRI_10-14,Lead Practitioner Range LP10 -LP14 - Fringe,10,14,False,"MIL,EDU",True
,LP_FRI,LP_FRI_12-12,Lead Practitioner Fixed Point LP12 - Fringe,12,12,False,"MIL,EDU",True
,LP_FRI,LP_FRI_15-18,Lead Practitioner Range LP15 -LP18 - Fringe,15,18,False,"MIL,EDU",True
,LP_IL,LP_IL_01-18,Lead Practitioner Range LP01-LP18 - Inner,1,18,False,"LOR,GRE,GOO,OUR",True
,LP_IL,LP_IL_01-04,Lead Practitioner Range LP01 -LP04 - Inner,1,4,False,"LOR,GRE,GOO,OUR",True
,LP_IL,LP_IL_05-09,Lead Practitioner Range LP05 -LP09 - Inner,5,9,False,"LOR,GRE,GOO,OUR",True
,LP_IL,LP_IL_10-14,Lead Practitioner Range LP10 -LP14 - Inner,10,14,False,"LOR,GRE,GOO,OUR",True
,LP_IL,LP_IL_12-12,Lead Practitioner Fixed Point LP12 - Inner,12,12,False,"LOR,GRE,GOO,OUR",True
,LP_IL,LP_IL_15-18,Lead Practitioner Range LP15 -LP18 - Inner,15,18,False,"LOR,GRE,GOO,OUR",True
,LP_OL,LP_OL_01-04,Lead Practitioner Range LP01 -LP04 - Outer,1,4,False,"LEA,MID",True
,LP_OL,LP_OL_01-18,Lead Practitioner Range LP01-LP18 - Outer,1,18,False,"LEA,MID",True
,LP_OL,LP_OL_05-09,Lead Practitioner Range LP05 -LP09 - Outer,5,9,False,"LEA,MID",True
,LP_OL,LP_OL_10-14,Lead Practitioner Range LP10 -LP14 - Outer,10,14,False,"LEA,MID",True
,LP_OL,LP_OL_12-12,Lead Practitioner Fixed Point LP12 - Outer,12,12,False,"LEA,MID",True
,LP_OL,LP_OL_15-18,Lead Practitioner Range LP15 -LP18 - Outer,15,18,False,"LEA,MID",True
,LS_EW,LS_EW_01-06,Leadership Range L01-L06 - EW,1,6,False,"MAT,ALE,APP,MAR",True
,LS_EW,LS_EW_01-43,Leadership Range L01-L43 - EW,1,43,False,"MAT,ALE,APP,MAR",True
,LS_EW,LS_EW_06-18,Leadership Range L06-L18 - EW,6,18,False,"MAT,ALE,APP,MAR",True
,LS_EW,LS_EW_07-13,Leadership Range L07-L13 - EW,7,13,False,"MAT,ALE,APP,MAR",True
,LS_EW,LS_EW_08-21,Leadership Range L08-L21 - EW,8,21,False,"MAT,ALE,APP,MAR",True
,LS_EW,LS_EW_12-12,Leadership Fixed Point L12 - EW,12,12,False,"MAT,ALE,APP,MAR",True
,LS_EW,LS_EW_12-24,Leadership Range L12-L24 - EW,12,24,False,"MAT,ALE,APP,MAR",True
,LS_EW,LS_EW_14-20,Leadership Range L14-L20 - EW,14,20,False,"MAT,ALE,APP,MAR",True
,LS_EW,LS_EW_16-27,Leadership Range L16-L27 - EW,16,27,False,"MAT,ALE,APP,MAR",True
,LS_EW,LS_EW_18-31,Leadership Range L18-L31 - EW,18,31,False,"MAT,ALE,APP,MAR",True
,LS_EW,LS_EW_21-27,Leadership Range L21-L27 - EW,21,27,False,"MAT,ALE,APP,MAR",True
,LS_EW,LS_EW_21-35,Leadership Range L21-L35 - EW,21,35,False,"MAT,ALE,APP,MAR",True
,LS_EW,LS_EW_28-43,Leadership Range L28-L43 - EW,28,43,False,"MAT,ALE,APP,MAR",True
,LS_EW,LS_EW_28-34,Leadership Range L28-L34 - EW,28,34,False,"MAT,ALE,APP,MAR",True
,LS_EW,LS_EW_35-43,Leadership Range L35-L43 - EW,35,43,False,"MAT,ALE,APP,MAR",True
,LS_FRI,LS_FRI_01-06,Leadership Range L01-L06 - Fringe,1,6,False,"MIL,EDU",True
,LS_FRI,LS_FRI_01-43,Leadership Range L01-L43 - Fringe,1,43,False,"MIL,EDU",True
,LS_FRI,LS_FRI_07-13,Leadership Range L07-L13 - Fringe,7,13,False,"MIL,EDU",True
,LS_FRI,LS_FRI_12-12,Leadership Fixed Point L12 - Fringe,12,12,False,"MIL,EDU",True
,LS_FRI,LS_FRI_14-20,Leadership Range L14-L20 - Fringe,14,20,False,"MIL,EDU",True
,LS_FRI,LS_FRI_21-27,Leadership Range L21-L27 - Fringe,21,27,False,"MIL,EDU",True
,LS_FRI,LS_FRI_28-34,Leadership Range L28-L34 - Fringe,28,34,False,"MIL,EDU",True
,LS_FRI,LS_FRI_35-43,Leadership Range L35-L43 - Fringe,35,43,False,"MIL,EDU",True
,LS_IL,LS_IL_01-43,Leadership range L01-L43 - Inner,1,43,False,"LOR,GRE,GOO,OUR",True
,LS_IL,LS_IL_01-06,Leadership Range L01-L06 - Inner,1,6,False,"LOR,GRE,GOO,OUR",True
,LS_IL,LS_IL_07-13,Leadership Range L07-L13 - Inner,7,13,False,"LOR,GRE,GOO,OUR",True
,LS_IL,LS_IL_12-12,Leadership Fixed Point L12 - Inner,12,12,False,"LOR,GRE,GOO,OUR",True
,LS_IL,LS_IL_14-20,Leadership Range L14-L20 - Inner,14,20,False,"LOR,GRE,GOO,OUR",True
,LS_IL,LS_IL_21-27,Leadership Range L21-L27 - Inner,21,27,False,"LOR,GRE,GOO,OUR",True
,LS_IL,LS_IL_28-34,Leadership Range L28-L34 - Inner,28,34,False,"LOR,GRE,GOO,OUR",True
,LS_IL,LS_IL_35-43,Leadership Range L35-L43 - Inner,35,43,False,"LOR,GRE,GOO,OUR",True
