ScenarioCode,StaffRoleGroupCode,Title,GrossSalaryFinanceCode,LeaveRebateFinanceCode,MinimumWageTopupFinanceCode,LivingWageTopupFinanceCode,EmployersNiFinanceCode,PensionFinanceCode,OptOutPensionFinanceCode,OtherSalaryCostsFinanceCode,AdjustmentsFinanceCode,WeeklyFteFinanceCode,AnnualFteFinanceCode,TeachingRoleGroup,IncrementCount,StaffRoleGroupEnabled,AllowanceTypesFinanceCode,WeeklyFteLeaveAdjustmentFinanceCode,AnnualFteLeaveAdjustmentFinanceCode
,ADM,Staff Costs - Finance and Admin-Wages and salaries,625100,625100,MINWAGE,LIVWAGE,625200,625300,PENS,625100,625100,WK_FTE_ADM,A_FTE_ADM,False,1,True,625100,WK_FTE_LEAVE_ADJ_ADM,A_FTE_LEAVE_ADJ_ADM
,CAT,Staff Costs - Catering Staff-Wages and salaries,632100,632100,MINWAGE,LIVWAGE,632200,632300,PENS,632100,632100,WK_FTE_CAT,A_FTE_CAT,False,1,True,632100,WK_FTE_LEAVE_ADJ_CAT,A_FTE_LEAVE_ADJ_CAT
,CLE,Staff Costs - Cleaning Staff-Wages and salaries,630100,630100,MINWAGE,LIVWAGE,630200,630300,PENS,630100,630100,WK_FTE_CLE,A_FTE_CLE,False,1,True,630100,WK_FTE_LEAVE_ADJ_CLE,A_FTE_LEAVE_ADJ_CLE
,COM,Staff Costs - Community Facilities Staff-Wages and salaries,645100,645100,MINWAGE,LIVWAGE,645200,645300,PENS,645100,645100,WK_FTE_COM,A_FTE_COM,False,1,True,645100,WK_FTE_LEAVE_ADJ_COM,A_FTE_LEAVE_ADJ_COM
,COV,Staff Costs - Cover Supervisors-Wages and salaries,623100,623100,MINWAGE,LIVWAGE,623200,623300,PENS,623100,623100,WK_FTE_COV,A_FTE_COV,False,1,True,623100,WK_FTE_LEAVE_ADJ_COV,A_FTE_LEAVE_ADJ_COV
,ESTF_SPO,Staff Costs - External Staff Sports Coach,825100,825100,MINWAGE_ESTF,LIVWAGE_ESTF,825100,825100,PENS_ESTF,825100,825100,WK_FTE_ESTF,A_FTE_ESTF,False,0,True,825100,WK_FTE_LEAVE_ADJ_ESTF,A_FTE_LEAVE_ADJ_ESTF
,ESTF_TEA,Staff Costs - External Staff Teaching,845100,845100,MINWAGE_ESTF,LIVWAGE_ESTF,845100,845100,PENS_ESTF,845100,845100,WK_FTE_ESTF,A_FTE_ESTF,False,0,True,845100,WK_FTE_LEAVE_ADJ_ESTF,A_FTE_LEAVE_ADJ_ESTF
,FSW,Staff Costs - Family Support Workers-Wages and salaries,640100,640100,MINWAGE,LIVWAGE,640200,640300,PENS,640100,640100,WK_FTE_FSW,A_FTE_FSW,False,1,True,640100,WK_FTE_LEAVE_ADJ_FSW,A_FTE_LEAVE_ADJ_FSW
,LIB,Staff Costs - Librarians-Wages and salaries,620100,620100,MINWAGE,LIVWAGE,620200,620300,PENS,620100,620100,WK_FTE_LIB,A_FTE_LIB,False,1,True,620100,WK_FTE_LEAVE_ADJ_LIB,A_FTE_LEAVE_ADJ_LIB
,LSN,Staff Costs - Leadership Non-Teaching-Wages and salaries,625100,625100,MINWAGE,LIVWAGE,625200,625300,PENS,625100,625100,WK_FTE_LSN,A_FTE_LSN,False,1,True,625100,WK_FTE_LEAVE_ADJ_LSN,A_FTE_LEAVE_ADJ_LSN
,LST,Staff Costs - Leadership Teaching-Wages and salaries,610100,610100,MINWAGE,LIVWAGE,610200,610300,PENS,610100,610100,WK_FTE_LST,A_FTE_LST,True,1,True,610100,WK_FTE_LEAVE_ADJ_LST,A_FTE_LEAVE_ADJ_LST
,MDS,Staff Costs - Midday Supervisors-Wages and salaries,635100,635100,MINWAGE,LIVWAGE,635200,635300,PENS,635100,635100,WK_FTE_MDS,A_FTE_MDS,False,1,True,635100,WK_FTE_LEAVE_ADJ_MDS,A_FTE_LEAVE_ADJ_MDS
,NUR,Staff Costs - Nursery Staff-Wages and salaries,637100,637100,MINWAGE,LIVWAGE,637200,637300,PENS,637100,637100,WK_FTE_NUR,A_FTE_NUR,False,1,True,637100,WK_FTE_LEAVE_ADJ_NUR,A_FTE_LEAVE_ADJ_NUR
,OTH,Staff Costs - Other Staff-Wages and salaries,647100,647100,MINWAGE,LIVWAGE,647200,647300,PENS,647100,647100,WK_FTE_OTH,A_FTE_OTH,False,1,True,647100,WK_FTE_LEAVE_ADJ_OTH,A_FTE_LEAVE_ADJ_OTH
,PRE,Staff Costs - Site Staff-Wages and salaries,627100,627100,MINWAGE,LIVWAGE,627200,627300,PENS,627100,627100,WK_FTE_PRE,A_FTE_PRE,False,1,True,627100,WK_FTE_LEAVE_ADJ_PRE,A_FTE_LEAVE_ADJ_PRE
,TA,Staff Costs - Teaching Assistants-Wages and salaries,615100,615100,MINWAGE,LIVWAGE,615200,615300,PENS,615100,615100,WK_FTE_TA,A_FTE_TA,False,1,True,615100,WK_FTE_LEAVE_ADJ_TA,A_FTE_LEAVE_ADJ_TA
,TEA,Staff Costs - Teachers-Wages and salaries,612100,612100,MINWAGE,LIVWAGE,612200,612300,PENS,612100,612100,WK_FTE_TEA,A_FTE_TEA,True,1,True,612100,WK_FTE_LEAVE_ADJ_TEA,A_FTE_LEAVE_ADJ_TEA
,TEC,Staff Costs - Technicians-Wages and salaries,622100,622100,MINWAGE,LIVWAGE,622200,622300,PENS,622100,622100,WK_FTE_TEC,A_FTE_TEC,False,1,True,622100,WK_FTE_LEAVE_ADJ_TEC,A_FTE_LEAVE_ADJ_TEC
