ScenarioCode,OldStaffMemberCode,NewStaffMemberCode
,107988,107988
,108908,108908
,109353,109353
,109600,109600
,110675,110675
,112394,112394
,112587,112587
,116638,116638
,117677,117677
,118136,118136
,118192,118192
,118483,118483
,119891,119891
,136006,136006
,136710,136710
,136972,136972
,137320,137320
,139785,139785
,140433,140433
,143268,143268
,144022,144022
,145167,145167
,146055,146055
,150118,150118
,151506,151506
,154411,154411
,156664,156664
,156675,156675
,156720,156720
,157882,157882
,164532,164532
,168540,168540
,169135,169135
,170544,170544
,17100008,17100008
,17200005,17200005
,173527,173527
,174180,174180
,178700,178700
,18000003,18000003
,18000006,18000006
,18100002,18100002
,184730,184730
,186305,186305
,187399,187399
,188116,188116
,189502,189502
,191006,191006
,192514,192514
,193218,193218
,193219,193219
,194235,194235
,194747,194747
,196366,196366
,196420,196420
,199696,199696
,199697,199697
,199900,199900
,199913,199913
,200013,200013
,200058,200058
,200092,200092
,200100,200100
,200468,200468
,20155305,20155305
,201986,201986
,202127,202127
,202743,202743
,204451,204451
,204718,204718
,205712,205712
,206258,206258
,206259,206259
,207237,207237
,207929,207929
,210362,210362
,210614,210614
,210692,210692
,210945,210945
,211182,211182
,211319,211319
,211581,211581
,211582,211582
,211701,211701
,212477,212477
,212683,212683
,213524,213524
,213596,213596
,213811,213811
,216122,216122
,216750,216750
,217302,217302
,217591,217591
,217683,217683
,217799,217799
,218062,218062
,218096,218096
,218097,218097
,218165,218165
,218486,218486
,218873,218873
,218881,218881
,219237,219237
,219351,219351
,220132,220132
,220133,220133
,221614,221614
,221616,221616
,222017,222017
,222293,222293
,222294,222294
,222300,222300
,222778,222778
,223418,223418
,223594,223594
,223892,223892
,224706,224706
,224982,224982
,225046,225046
,225112,225112
,225744,225744
,225759,225759
,225760,225760
,225893,225893
,225894,225894
,226120,226120
,226149,226149
,226243,226243
,226917,226917
,227430,227430
,228226,228226
,228616,228616
,228907,228907
,228950,228950
,228974,228974
,229536,229536
,229649,229649
,229869,229869
,230016,230016
,230126,230126
,230300,230300
,230651,230651
,230652,230652
,230727,230727
,230728,230728
,231171,231171
,231267,231267
,231279,231279
,231715,231715
,231716,231716
,232037,232037
,232156,232156
,232379,232379
,232413,232413
,232741,232741
,233271,233271
,233418,233418
,234356,234356
,234603,234603
,234949,234949
,234959,234959
,235033,235033
,235197,235197
,235329,235329
,235336,235336
,235575,235575
,235593,235593
,235594,235594
,235602,235602
,235814,235814
,235815,235815
,235987,235987
,235997,235997
,236110,236110
,236111,236111
,236113,236113
,236115,236115
,236116,236116
,236117,236117
,236118,236118
,236164,236164
,236165,236165
,236166,236166
,236168,236168
,236170,236170
,236179,236179
,236370,236370
,236371,236371
,236433,236433
,236440,236440
,236502,236502
,236512,236512
,236689,236689
,236773,236773
,236869,236869
,237267,237267
,237293,237293
,237507,237507
,237751,237751
,238747,238747
,238748,238748
,239213,239213
,239236,239236
,239911,239911
,240023,240023
,240024,240024
,240027,240027
,240190,240190
,240217,240217
,240218,240218
,240533,240533
,240534,240534
,240536,240536
,240537,240537
,240538,240538
,240588,240588
,240589,240589
,240601,240601
,241090,241090
,241111,241111
,241114,241114
,241207,241207
,241208,241208
,241209,241209
,241210,241210
,241211,241211
,241212,241212
,241216,241216
,241217,241217
,241218,241218
,241219,241219
,241220,241220
,241281,241281
,241287,241287
,241577,241577
,241581,241581
,241597,241597
,241733,241733
,242435,242435
,242436,242436
,242437,242437
,242438,242438
,242648,242648
,242649,242649
,242819,242819
,242835,242835
,242902,242902
,242903,242903
,242933,242933
,243136,243136
,243152,243152
,243153,243153
,243154,243154
,243155,243155
,243156,243156
,243157,243157
,243158,243158
,243159,243159
,244314,244314
,287224,287224
,308369,308369
,316018,316018
,330041,330041
,50016133,50016133
,50016505,50016505
,50016579,50016579
,50016582,50016582
,50016650,50016650
,50044476,50044476
,50044480,50044480
,50044482,50044482
,50044486,50044486
,50044492,50044492
,50044498,50044498
,50044500,50044500
,50044514,50044514
,50044518,50044518
,50044534,50044534
,50044546,50044546
,50044550,50044550
,50044558,50044558
,50044560,50044560
,50044564,50044564
,50044578,50044578
,50044584,50044584
,50044598,50044598
,50044610,50044610
,50044612,50044612
,50044614,50044614
,50044680,50044680
,50044684,50044684
,50044704,50044704
,50044708,50044708
,50044720,50044720
,50044724,50044724
,50044728,50044728
,50044738,50044738
,50044750,50044750
,50044756,50044756
,50044758,50044758
,50044760,50044760
,50044770,50044770
,50044774,50044774
,50044784,50044784
,50044790,50044790
,50044802,50044802
,50045006,50045006
,50045010,50045010
,50045022,50045022
,50045024,50045024
,50045030,50045030
,50045056,50045056
,50045062,50045062
,50045066,50045066
,50045070,50045070
,50045086,50045086
,50045090,50045090
,50045100,50045100
,50045106,50045106
,50045112,50045112
,50045114,50045114
,50045120,50045120
,50045122,50045122
,50045134,50045134
,50045144,50045144
,50045172,50045172
,50045204,50045204
,50045206,50045206
,50045212,50045212
,50045216,50045216
,50045228,50045228
,50045240,50045240
,50045246,50045246
,50045258,50045258
,50045264,50045264
,50045266,50045266
,50045268,50045268
,50045270,50045270
,50045280,50045280
,50045288,50045288
,50045290,50045290
,50045292,50045292
,50045296,50045296
,50045298,50045298
,50045302,50045302
,50045304,50045304
,50045308,50045308
,50045310,50045310
,50045324,50045324
,50045336,50045336
,50045338,50045338
,50045342,50045342
,50045354,50045354
,50045362,50045362
,50045368,50045368
,50045420,50045420
,50045422,50045422
,50045434,50045434
,50045438,50045438
,50045460,50045460
,50045464,50045464
,50045468,50045468
,50045476,50045476
,50045484,50045484
,50045488,50045488
,50045506,50045506
,50045508,50045508
,50045512,50045512
,50045518,50045518
,50045536,50045536
,50045542,50045542
,50045550,50045550
,50045554,50045554
,50045558,50045558
,50045564,50045564
,50045572,50045572
,50045592,50045592
,50045608,50045608
,50045612,50045612
,50045620,50045620
,50045622,50045622
,50045630,50045630
,50045632,50045632
,50045644,50045644
,50045650,50045650
,50045660,50045660
,50045678,50045678
,50045680,50045680
,50045688,50045688
,50045690,50045690
,50045692,50045692
,50045696,50045696
,50045708,50045708
,50045710,50045710
,50045712,50045712
,50045714,50045714
,50045722,50045722
,50045726,50045726
,50045732,50045732
,50045734,50045734
,50045738,50045738
,50045742,50045742
,50045758,50045758
,50045762,50045762
,50045770,50045770
,50045772,50045772
,50045774,50045774
,50045778,50045778
,50045780,50045780
,50045786,50045786
,50045794,50045794
,50045798,50045798
,50045804,50045804
,50045810,50045810
,50045818,50045818
,50045840,50045840
,50045850,50045850
,50045852,50045852
,50045854,50045854
,50045872,50045872
,50045874,50045874
,50045878,50045878
